accountant auditor,accountingauditor,accountantauditor,,,,,,,,,,,,,,,,
sale career,salescareers,,,,,,,,,,,,,,,,,
sale engineer,sales engr,sale engr,,,,,,,,,,,,,,,,
sale manager,area sale manager,national sale manager,regional sale manager,,,,,,,,,,,,,,,
sale marketing,sales mktg,salesmktg,marketing sale,,,,,,,,,,,,,,,
sale management trainee,sales mgmt trainee,,,,,,,,,,,,,,,,,
sale manager,sales management,sales manage,ales manager,sales mgr,,,,,,,,,,,,,,
sale part,salesparts,,,,,,,,,,,,,,,,,
sale position,and sales positions,,,,,,,,,,,,,,,,,
sale professional,sale pro,professional sale,,,,,,,,,,,,,,,,
sale secretary,sales secy,,,,,,,,,,,,,,,,,
sale service part,salesserviceparts,,,,,,,,,,,,,,,,,
sale service rental,salesservicerentals,,,,,,,,,,,,,,,,,
sale service,salesservice,,,,,,,,,,,,,,,,,
sale,saless,,,,,,,,,,,,,,,,,
salesperson,sales person,salesman,salesmen,salesman and,salesman too,salespeople,sales ladies,sale people,,,,,,,,,,
secretary assistant,secy assistant,,,,,,,,,,,,,,,,,
secretary bookkeeper,secretarybookkeeper,bookkeeper secretary,,,,,,,,,,,,,,,,
secretary receptionist,secretaryreceptionist,secy receptionist,receptionist secretary,receptionistsecretary,,,,,,,,,,,,,,
secretary typist,secretarytypist,,,,,,,,,,,,,,,,,
secretary,secretary for,,,,,,,,,,,,,,,,,
senior accountant,senior acct,,,,,,,,,,,,,,,,,
senior staff,enior staff,,,,,,,,,,,,,,,,,
senior technical writer,senior tech writer,,,,,,,,,,,,,,,,,
shipper receiver,shipperreceiver,,,,,,,,,,,,,,,,,
staff accountant,staff acct,staff accts,,,,,,,,,,,,,,,,
statistical typist,stat typist,,,,,,,,,,,,,,,,,
stock room clerk,stockroom clerk,,,,,,,,,,,,,,,,,
supervisor tax,supervisortax,,,,,,,,,,,,,,,,,
system analyst programmer,programmer system analyst,system programmer analyst,programmer analyst system,,,,,,,,,,,,,,,
system engineer,engineer system,,,,,,,,,,,,,,,,,
technical recruiter,technical recruiter a new,,,,,,,,,,,,,,,,,
technical typist,tech typist,,,,,,,,,,,,,,,,,
technical writer,tech writer,,,,,,,,,,,,,,,,,
test technician,test tech,,,,,,,,,,,,,,,,,
tool engineer,tooling engineer,,,,,,,,,,,,,,,,,
tool and die maker,tool die maker,,,,,,,,,,,,,,,,,
typist clerk,clerktypist,clk typist,lerk typist,clerk typist,typist clerk typist,typistclerk,,,,,,,,,,,,
vice president finance,vice presidentfinance,,,,,,,,,,,,,,,,,
vice president human resource,vicepresident human resources,,,,,,,,,,,,,,,,,
vice president sale,vice presidentales,,,,,,,,,,,,,,,,,
vice president,vicepresident,,,,,,,,,,,,,,,,,
waiter,waitresseswaiters,,,,,,,,,,,,,,,,,
xray,x ray,x-ray,x- ray,x -ray,,,,,,,,,,,,,,
